iter	Passed	Remaining
135	218065	1385357
136	219576	1383169
137	221230	1381888
138	222855	1380421
139	224569	1379501
140	226116	1377549
141	227651	1375527
142	229276	1374052
143	230763	1371760
144	232327	1369934
145	233859	1367917
146	235223	1364934
147	236365	1360698
148	237755	1357921
149	239395	1356572
150	241014	1355110
151	242730	1354181
152	244254	1352177
153	245886	1350777
154	247234	1347827
155	249110	1347752
156	250826	1346796
157	252162	1343805
158	253904	1342979
159	255404	1340875
160	256882	1338660
161	258376	1336542
162	260126	1335739
163	261802	1334555
164	263342	1332672
165	264673	1329747
166	266343	1328525
167	267903	1326758
168	269601	1325672
169	270758	1321940
170	272518	1321157
171	274058	1319306
172	275820	1318518
173	277499	1317325
174	279040	1315478
175	280439	1312968
176	281739	1310007
177	283395	1308713
178	285017	1307257
179	286469	1305029
180	287928	1302835
181	289723	1302164
182	290964	1299006
183	292450	1296952
184	293812	1294364
185	295253	1292132
186	296741	1290113
187	298091	1287502
188	299738	1286178
189	300993	1283184
190	302686	1282059
191	304529	1281560
192	306100	1279913
193	307721	1278472
194	309291	1276819
195	310805	1274935
196	312274	1272875
197	314039	1272017
198	315685	1270675
199	317266	1269067
200	318926	1267771
201	320678	1266840
202	322325	1265483
203	324196	1265002
204	325377	1261830
205	326973	1260277
206	328133	1257051
207	329816	1255838
208	331071	1253003
209	332649	1251396
210	334021	1249017
211	335372	1246574
212	336685	1243998
213	338434	1243033
214	339881	1240963
215	341745	1240410
216	343263	1238595
217	344918	1237277
218	346699	1236403
219	348404	1235251
220	350101	1234067
221	351524	1231918
222	352986	1229912
223	354831	1229236
224	356644	1228441
225	358366	1227325
226	359912	1225605
227	361553	1224207
228	362821	1221550
229	364855	1221474
230	366359	1219613
231	368029	1218304
232	369608	1216693
233	370787	1213773
234	372249	1211792
235	373959	1210614
236	375419	1208629
237	377107	1207378
238	378843	1206276
239	380445	1204743
240	382202	1203700
241	383948	1202615
242	385466	1200814
243	387214	1199730
244	389103	1199074
245	390932	1198222
246	392539	1196688
247	393795	1194089
248	395224	1192021
249	396837	1190512
250	398421	1188915
251	400216	1187943
252	402049	1187078
253	403741	1185791
254	405503	1184706
255	407273	1183639
256	408989	1182408
257	410703	1181170
258	412533	1180258
259	413760	1177627
260	415548	1176592
261	417298	1175442
262	418682	1173265
263	420253	1171615
264	421894	1170159
265	423563	1168781
266	424722	1165997
267	426277	1164309
268	428148	1163481
269	429690	1161754
270	431224	1160009
271	432933	1158732
272	434339	1156647
273	435817	1154758
274	437184	1152576
275	438788	1151026
276	440222	1149028
277	441797	1147402
278	443407	1145867
279	444973	1144218
280	446590	1142700
281	448625	1142244
282	450505	1141386
283	451971	1139477
284	453804	1138491
285	455316	1136698
286	456912	1135116
287	458553	1133646
288	460323	1132491
289	461824	1130673
290	463201	1128555
291	464912	1127253
292	466735	1126219
293	468496	1125028
294	470241	1123797
295	472070	1122761
296	473523	1120831
297	475615	1120409
298	477383	1119217
299	478884	1117397
300	480704	1116320
301	482410	1114974
302	484104	1113600
303	485668	1111926
304	487215	1110212
305	488128	1107062
306	489854	1105763
307	491500	1104280
308	492927	1102306
309	494369	1100369
310	496010	1098878
311	497548	1097159
312	498973	1095191
313	500649	1093775
314	502298	1092300
315	503634	1090145
316	505209	1088510
317	506890	1087105
318	508339	1085202
319	509937	1083617
320	511334	1081607
321	512940	1080041
322	514254	1077864
323	515943	1076474
324	517684	1075190
325	519552	1074167
326	521452	1073204
327	523070	1071655
328	524622	1069974
329	525860	1067656
330	527414	1065981
331	528835	1064042
332	530360	1062313
333	532036	1060888
334	534025	1060081
335	535549	1058346
336	537339	1057139
337	538818	1055318
338	540514	1053923
339	541731	1051596
340	543472	1050288
341	545218	1048987
342	546835	1047436
343	548332	1045657
344	550010	1044222
345	551888	1043165
346	553563	1041719
347	555213	1040227
348	556845	1038700
349	558546	1037300
350	560500	1036366
351	562325	1035190
352	563965	1033671
353	565548	1032045
354	567153	1030462
355	568983	1029285
356	570528	1027590
357	572095	1025937
358	573723	1024391
359	575420	1022969
360	576933	1021220
361	578997	1020442
362	580579	1018812
363	582145	1017155
364	583787	1015630
365	585278	1013843
366	587030	1012507
367	588843	1011275
368	590308	1009442
369	591714	1007513
370	593175	1005679
371	594798	1004122
372	596513	1002717
373	598084	1001071
374	599650	999417
375	601217	997765
376	602967	996415
377	604568	994819
378	606023	992982
379	607882	991809
380	609650	990482
381	611123	988675
382	612896	987355
383	614273	985397
384	615976	983962
385	617384	982057
386	618967	980432
387	620700	979042
388	622413	977621
389	623814	975710
390	625519	974275
391	627082	972617
392	628584	970867
393	630222	969326
394	631748	967614
395	633236	965844
396	634857	964279
397	636165	962240
398	638004	961004
399	639454	959181
400	641178	957770
401	642535	955811
402	643874	953828
403	645698	952564
404	647301	950974
405	648725	949120
406	650443	947697
407	651711	945619
408	653537	944353
409	655127	942744
410	656933	941445
411	658575	939908
412	660173	938308
413	661836	936802
414	663540	935351
415	664831	933321
416	666572	931922
417	668361	930589
418	670038	929099
419	671664	927536
420	673222	925881
421	674716	924137
422	676493	922781
423	678221	921357
424	679826	919764
425	681312	918012
426	682983	916509
427	684371	914627
428	685827	912838
429	687367	911161
430	688984	909587
431	690587	907994
432	692247	906476
433	693997	905075
434	695918	903893
435	697430	902180
436	699430	901096
437	701260	899790
438	702971	898330
439	704453	896577
440	706202	895163
441	708167	894021
442	709942	892636
443	711596	891098
444	713052	889313
445	714596	887637
446	716109	885925
447	717776	884403
448	719324	882734
449	720993	881214
450	722857	879930
451	724666	878577
452	726436	877175
453	728104	875649
454	729976	874367
455	731442	872597
456	733138	871103
457	734877	869658
458	736346	867893
459	738084	866447
460	740146	865377
461	741748	863767
462	743613	862463
463	745326	860981
464	746963	859409
465	748832	858104
466	750170	856190
467	751684	854478
468	753209	852780
469	754956	851333
470	756559	849723
471	758208	848165
472	759810	846553
473	761402	844931
474	762883	843187
475	764629	841734
476	766483	840400
477	768227	838942
478	769778	837275
479	771644	835948
480	772995	834063
481	774645	832502
482	776273	830917
483	778009	829447
484	779651	827877
485	781427	826447
486	783375	825198
487	785226	823843
488	787101	822513
489	788263	820437
490	789606	818553
491	791438	817176
492	793168	815692
493	794737	814043
494	795890	811968
495	797305	810165
496	798784	808427
497	800154	806581
498	801929	805143
499	803355	803355
500	804489	801277
501	806005	799582
502	807576	797943
503	809300	796454
504	810910	794853
505	812769	793494
506	814574	792081
507	816480	790764
508	818249	789313
509	819981	787825
510	821705	786328
511	823126	784542
512	824988	783176
513	826873	781830
514	828619	780350
515	830277	778787
516	831764	777064
517	833475	775550
518	835197	774046
519	837037	772649
520	838416	770828
521	840238	769413
522	842040	767979
523	843661	766379
524	845148	764658
525	847060	763320
526	848821	761845
527	850669	760446
528	852527	759055
529	854101	757410
530	855942	756002
531	857753	754564
532	859222	752826
533	861056	751408
534	862703	749826
535	864229	748139
536	865922	746596
537	867429	744892
538	868816	743087
539	870207	741287
540	871554	739451
541	873112	737796
542	874669	736139
543	876275	734525
544	878031	733035
545	879811	731564
546	881624	730120
547	883395	728639
548	885196	727183
549	886836	725593
550	888553	724066
551	890276	722543
552	891985	721008
553	893423	719253
554	894952	717574
555	896697	716067
556	898352	714488
557	899643	712620
558	901663	711329
559	903148	709616
560	905009	708198
561	906444	706445
562	907990	704781
563	909704	703246
564	911084	701454
565	912851	699960
566	914500	698374
567	916166	696803
568	917581	695039
569	918964	693254
570	920858	691853
571	922436	690214
572	923943	688523
573	925664	686991
574	927380	685455
575	928866	683749
576	930496	682149
577	931897	680381
578	933669	678885
579	935458	677400
580	937224	675898
581	938646	674147
582	940303	672566
583	941831	670893
584	943594	669387
585	945007	667633
586	946593	666001
587	948427	664544
588	950086	662963
589	951845	661452
590	953649	659970
591	955192	658308
592	956823	656706
593	958472	655117
594	960330	653670
595	961607	651827
596	962976	650049
597	964400	648309
598	965820	646567
599	967606	645071
600	969120	643392
601	970902	641892
602	972625	640352
603	974490	638904
604	976131	637308
605	977521	635550
606	979201	633980
607	980775	632342
608	982614	630874
609	984553	629468
610	986403	628004
611	988044	626407
612	989854	624916
613	991434	623279
614	993104	621699
615	994746	620101
616	996100	618325
617	997533	616598
618	999158	614990
619	1001126	613593
620	1002723	611968
621	1004235	610291
622	1006005	608770
623	1007635	607164
624	1009333	605600
625	1011072	604059
626	1012834	602531
627	1014561	600982
628	1016278	599426
629	1017801	597756
630	1019359	596107
631	1020991	594501
632	1022818	593008
633	1024471	591414
634	1026231	589880
635	1027993	588348
636	1029477	586656
637	1030659	584794
638	1032002	583024
639	1033453	581317
640	1035205	579779
641	1037109	578325
642	1038621	576652
643	1040131	574979
644	1041837	573414
645	1043304	571717
646	1045290	570305
647	1047143	568818
648	1048949	567305
649	1050702	565762
650	1052168	564065
651	1053780	562447
652	1055607	560942
653	1057262	559346
654	1058889	557735
655	1060390	556058
656	1062127	554504
657	1063422	552721
658	1065049	551110
659	1066517	549418
660	1068160	547815
661	1069573	546096
662	1071127	544449
663	1072945	542936
664	1074334	541205
665	1076082	539656
666	1077660	538022
667	1079005	536272
668	1080740	534715
669	1082519	533181
670	1084293	531643
671	1086013	530078
672	1087837	528563
673	1089213	526830
674	1090992	525292
675	1092488	523618
676	1094186	522041
677	1096055	520545
678	1097807	518992
679	1099590	517454
680	1101580	516012
681	1103067	514333
682	1104783	512762
683	1106494	511187
684	1108163	509593
685	1109809	507988
686	1111659	506476
687	1113275	504857
688	1114710	503156
689	1115622	501221
690	1117430	499690
691	1119166	498125
692	1120930	496573
693	1122577	494969
694	1123977	493256
695	1125411	491558
696	1127087	489967
697	1128886	488429
698	1130569	486840
699	1132159	485211
700	1133836	483619
701	1135259	481919
702	1136924	480322
703	1138553	478709
704	1140331	477159
705	1142289	475684
706	1144063	474130
707	1145925	472613
708	1147635	471032
709	1149370	469461
710	1150852	467786
711	1152426	466150
712	1154012	464518
713	1155714	462933
714	1157473	461370
715	1159306	459836
716	1160752	458149
717	1162304	456504
718	1164395	455069
719	1166159	453506
720	1167737	451870
721	1169411	450272
722	1170823	448572
723	1172459	446959
724	1174196	445384
725	1175607	443686
726	1177383	442126
727	1179169	440568
728	1180759	438938
729	1182227	437262
730	1183728	435599
731	1185472	434025
732	1187392	432515
733	1189176	430954
734	1190790	429332
735	1192582	427774
736	1194191	426149
737	1195710	424493
738	1197606	422970
739	1199201	421340
740	1200603	419644
741	1201939	417925
742	1203517	416290
743	1205135	414670
744	1206937	413112
745	1208664	411529
746	1210159	409866
747	1211959	408307
748	1213693	406725
749	1215414	405138
750	1217161	403559
751	1218724	401919
752	1220427	400326
753	1222342	398801
754	1224185	397252
755	1225750	395612
756	1227665	394085
757	1229495	392530
758	1231221	390941
759	1233106	389402
760	1234590	387735
761	1236307	386143
762	1237587	384414
763	1239228	382798
764	1240920	381197
765	1242682	379618
766	1244426	378033
767	1245797	376334
768	1247392	374704
769	1249141	373120
770	1251007	371570
771	1252743	369981
772	1254449	368382
773	1256196	366796
774	1257765	365157
775	1259723	363631
776	1261416	362028
777	1263044	360405
778	1264897	358847
779	1266634	357255
780	1268255	355631
781	1270118	354074
782	1271934	352502
783	1273588	350886
784	1275315	349290
785	1276386	347514
786	1278137	345925
787	1280034	344374
788	1281581	342729
789	1283416	341161
790	1285190	339576
791	1287056	338014
792	1288965	336463
793	1290849	334905
794	1292685	333334
795	1294472	331749
796	1296429	330207
797	1298124	328597
798	1299489	326905
799	1301265	325316
800	1302998	323716
801	1304878	322152
802	1306613	320551
803	1308245	318925
804	1309642	317242
805	1311398	315646
806	1312886	313986
807	1314662	312395
808	1316160	310737
809	1318011	309163
810	1319769	307566
811	1321660	306000
812	1323253	304364
813	1325048	302775
814	1326734	301160
815	1328275	299512
816	1329863	297876
817	1331722	296300
818	1333539	294713
819	1335438	293145
820	1337126	291529
821	1338817	289914
822	1340593	288317
823	1342252	286694
824	1344117	285115
825	1345948	283529
826	1347635	281911
827	1349364	280302
828	1351090	278692
829	1352832	277086
830	1354286	275420
831	1356229	273853
832	1357994	272251
833	1359722	270640
834	1361410	269021
835	1363024	267387
836	1365126	265849
837	1366954	264256
838	1368476	262603
839	1369908	260934
840	1371570	259309
841	1372900	257622
842	1374533	255992
843	1376209	254370
844	1378085	252784
845	1379801	251169
846	1381661	249579
847	1383419	247971
848	1385177	246362
849	1386744	244719
850	1388516	243112
851	1389750	241412
852	1391832	239858
853	1393557	238242
854	1395051	236587
855	1396754	234968
856	1398698	233388
857	1400557	231793
858	1402448	230204
859	1403979	228554
860	1405744	226943
861	1407341	225305
862	1408666	223623
863	1410133	221965
864	1411380	220273
865	1413060	218649
866	1415020	217067
867	1416644	215434
868	1418471	213831
869	1420505	212259
870	1422256	210644
871	1423736	208988
872	1425455	207368
873	1427124	205741
874	1429090	204155
875	1430716	202521
876	1432232	200871
877	1433745	199222
878	1435527	197609
879	1437219	195984
880	1438659	194325
881	1440421	192709
882	1442187	191093
883	1443818	189460
884	1445163	187789
885	1446915	186171
886	1448818	184573
887	1450630	182962
888	1452375	181342
889	1453988	179706
890	1455375	178042
891	1457018	176410
892	1458253	174729
893	1459908	173098
894	1461377	171446
895	1462441	169747
896	1464020	168109
897	1465923	166507
898	1467761	164898
899	1469807	163311
900	1471633	161700
901	1473515	160093
902	1475316	158478
903	1476905	156839
904	1478446	155196
905	1479650	153517
906	1481320	151888
907	1483144	150274
908	1484801	148643
909	1486298	146996
910	1488042	145374
911	1489898	143762
912	1491595	142134
913	1493165	140494
914	1494695	138851
915	1496384	137223
916	1498237	135609
917	1500084	133994
918	1501565	132346
919	1503256	130717
920	1504881	129083
921	1506528	127450
922	1508245	125823
923	1510088	124206
924	1511927	122588
925	1513761	120970
926	1515468	119341
927	1517188	117712
928	1518728	116070
929	1520604	114454
930	1522425	112832
931	1524167	111205
932	1525879	109575
933	1527764	107957
934	1529725	106344
935	1531423	104712
936	1532919	103067
937	1534465	101425
938	1535951	99779
939	1538040	98172
940	1539799	96544
941	1541290	94899
942	1542509	93237
943	1544441	91619
944	1546287	89995
945	1547787	88351
946	1549630	86726
947	1551470	85101
948	1553337	83477
949	1555112	81848
950	1556560	80201
951	1558367	78573
952	1560011	76936
953	1561594	75297
954	1563431	73669
955	1564918	72025
956	1566678	70394
957	1568271	68755
958	1569992	67121
959	1571721	65488
960	1573373	63851
961	1574924	62211
962	1576484	60571
963	1578283	58940
964	1580061	57307
965	1581798	55674
966	1583693	54045
967	1585238	52404
968	1587090	50773
969	1588825	49138
970	1590484	47501
971	1591882	45856
972	1593720	44224
973	1594979	42576
974	1596797	40943
975	1598630	39310
976	1600105	37668
977	1601933	36035
978	1603741	34400
979	1605424	32763
980	1607075	31125
981	1608327	29480
982	1609902	27841
983	1611640	26205
984	1613329	24568
985	1614708	22926
986	1616322	21288
987	1617990	19651
988	1619637	18014
989	1621195	16375
990	1622538	14735
991	1623802	13095
992	1625294	11457
993	1627148	9821
994	1628844	8185
995	1630694	6548
996	1632551	4912
997	1634399	3275
998	1635891	1637
999	1637748	0
