iter	Logloss
0	0.5974288704
1	0.5511658456
2	0.5316963138
3	0.5214454446
4	0.5151407853
5	0.5127427832
6	0.509707916
7	0.5080898062
8	0.5066452145
9	0.5059110178
10	0.5044819522
11	0.5039167615
12	0.503185843
13	0.5027441335
14	0.5023248209
15	0.5017016175
16	0.5010709487
17	0.5004916532
18	0.5002556216
19	0.4994447073
20	0.4992493398
21	0.4988775993
22	0.4987027561
23	0.4984800505
24	0.4982709616
25	0.4980101574
26	0.4978414279
27	0.4976670702
28	0.4975815162
29	0.4974309594
30	0.4972613557
31	0.4971316605
32	0.497042269
33	0.4969255525
34	0.4966244214
35	0.4965429994
36	0.4964648183
37	0.4963431202
38	0.496208444
39	0.4961002711
40	0.4960137203
41	0.4959380332
42	0.4958687872
43	0.4958104253
44	0.4957195127
45	0.4955612251
46	0.4954785487
47	0.4954175455
48	0.4953438909
49	0.4952598908
50	0.4952075921
51	0.4951675056
52	0.4951137205
53	0.4949912729
54	0.4948853036
55	0.4948316937
56	0.4947302888
57	0.4946747194
58	0.494606128
59	0.4945496716
60	0.4945034505
61	0.4944659141
62	0.4943800199
63	0.4943457192
64	0.4943016888
65	0.4942615976
66	0.4941535319
67	0.4941113037
68	0.4940854249
69	0.4940456797
70	0.4940173008
71	0.4939745407
72	0.4939019567
73	0.4938524232
74	0.4937887183
75	0.493754296
76	0.493720259
77	0.4936849798
78	0.4936599635
79	0.4936239869
80	0.4935897598
81	0.4935588758
82	0.4935224376
83	0.493492583
84	0.4934620751
85	0.4934282338
86	0.493316474
87	0.4932715041
88	0.493241424
89	0.4931881211
90	0.4931592754
91	0.4931358088
92	0.4931023174
93	0.4930789107
94	0.4930434552
95	0.4930149023
96	0.4929756774
97	0.4929257417
98	0.4929006936
99	0.492865763
100	0.4928434188
101	0.4928102876
102	0.4927792904
103	0.4927384723
104	0.4927184559
105	0.4926977876
106	0.4926800399
107	0.4926635821
108	0.4926238317
109	0.4925620756
110	0.492539432
111	0.4925087754
112	0.4924820827
113	0.4924596641
114	0.4924316305
115	0.492392028
116	0.4923739489
117	0.4923536509
118	0.4923379338
119	0.4923107956
120	0.4922486622
121	0.4922256062
122	0.4922034611
123	0.4921867169
124	0.4921685878
125	0.4921461509
126	0.4921249385
127	0.4921021504
128	0.4920687543
129	0.4920384737
130	0.4920260528
131	0.4920101184
132	0.4919997309
133	0.4919828445
134	0.4919710445
135	0.4919543117
136	0.4919360679
137	0.4919140913
138	0.4918982676
139	0.4918837663
140	0.4918289595
141	0.4918083003
142	0.4917924341
143	0.4917568551
144	0.4917338027
145	0.4917222018
146	0.4917061919
147	0.491700501
148	0.4916827949
149	0.4916667119
150	0.4916507087
151	0.4916427884
152	0.4916253682
153	0.4916103522
154	0.4915973917
155	0.4915744971
156	0.4915554572
157	0.4915364975
158	0.4915218827
159	0.4915109097
160	0.4914957479
161	0.4914848223
162	0.4914731451
163	0.4914629783
164	0.4914476313
165	0.491443419
166	0.4914283974
167	0.4914129716
168	0.4913949492
169	0.4913786878
170	0.491362898
171	0.4913516888
172	0.4913346369
173	0.4913205482
174	0.4913130408
175	0.4913015126
176	0.4912965336
177	0.4912864508
178	0.4912692275
179	0.491254686
180	0.491243074
181	0.4912323466
182	0.4912251196
183	0.4912153178
184	0.4912042382
185	0.4911950934
186	0.4911888354
187	0.4911792824
188	0.4911704667
189	0.4911545267
190	0.4911450675
191	0.491138723
192	0.4911201995
193	0.4911045212
194	0.491092863
195	0.4910821632
196	0.4910723449
197	0.4910633653
198	0.4910542894
199	0.4910357671
200	0.4910222965
201	0.4910124029
202	0.4910028585
203	0.4909908879
204	0.4909789825
205	0.4909674264
206	0.4909493655
207	0.4909407317
208	0.4909300558
209	0.4909116513
210	0.4909003297
211	0.4908922933
212	0.4908856283
213	0.4908761092
214	0.4908650707
215	0.4908569546
216	0.4908463639
217	0.4908398819
218	0.4908267895
219	0.4908177974
220	0.4908055143
221	0.4907938909
222	0.4907817177
223	0.4907725967
224	0.4907657935
225	0.4907568182
226	0.490753675
227	0.4907335037
228	0.4907292079
229	0.4907198145
230	0.4907134071
231	0.4907028819
232	0.4906930198
233	0.4906910857
234	0.4906885307
235	0.4906825719
236	0.4906716435
237	0.4906626514
238	0.4906520938
239	0.4906417212
240	0.4906286034
241	0.4906240208
242	0.4906167055
243	0.490610098
244	0.4906070057
245	0.490590536
246	0.4905843997
247	0.490574652
248	0.4905639863
249	0.4905545215
250	0.4905291579
251	0.4905160119
252	0.4905069816
253	0.4905017345
254	0.4904932256
255	0.4904889708
256	0.4904794609
257	0.4904698746
258	0.4904628048
259	0.4904543384
260	0.4904496757
261	0.4904464316
262	0.4904271832
263	0.4904163922
264	0.4904071787
265	0.490399785
266	0.4903885091
267	0.4903843649
268	0.4903768633
269	0.4903714073
270	0.4903601126
271	0.4903514855
272	0.4903408517
273	0.4903310231
274	0.4903214927
275	0.4903116758
276	0.4903032966
277	0.490297523
278	0.490288935
279	0.4902757082
280	0.4902654202
281	0.4902585693
282	0.4902440643
283	0.4902357614
284	0.4902296216
285	0.4902231565
286	0.4902136363
287	0.4902067513
288	0.4902004254
289	0.4901905603
290	0.4901840491
291	0.4901442257
292	0.4901377805
293	0.490116821
294	0.4901105076
295	0.4901024933
296	0.4900883872
297	0.4900811199
298	0.4900718487
299	0.4900616831
300	0.490055352
301	0.4900486678
302	0.4900415347
303	0.49003323
304	0.4900226619
305	0.4900214437
306	0.4900151987
307	0.49000973
308	0.4899991219
309	0.4899885705
310	0.4899739651
311	0.4899710448
312	0.4899607125
313	0.489950292
314	0.4899460995
315	0.4899362567
316	0.489932939
317	0.4899295885
318	0.4899220758
319	0.4899131179
320	0.4899030353
321	0.489894909
322	0.4898918631
323	0.4898867574
324	0.4898814224
325	0.4898686419
326	0.4898639045
327	0.4898579887
328	0.4898522447
329	0.4898453438
